Date,NO2_HCAB,NO2_JAGT,NO2_HCØ,NO2_HVID
2018-04-09,30.61037534042553,27.87657531914893,14.219992063829784,
2018-04-10,21.561095152173912,13.566259673913043,4.868706978260869,
2018-04-11,20.87302161702128,11.225492829787234,3.622363118085106,
2018-04-12,18.822124,11.002172866666667,2.4704213361702125,
2018-04-13,24.26949997826087,12.761688063829787,3.876848817391304,
2018-04-14,19.51696885106383,17.003275217391305,7.897809361702128,
2018-04-15,17.58906638297872,16.670391127659574,6.096336638297872,
2018-04-16,36.34192644680852,25.561470538461545,10.16517429787234,
2018-04-17,23.932383,15.33668788888889,7.332170500000001,
2018-04-18,27.719185574468085,15.258355510638298,6.329315404255319,
2018-04-19,28.947651234042556,22.920286025000003,10.009427,
2018-04-20,23.47219871794872,21.53326740425532,10.04373843478261,
2018-04-21,14.719268217391305,6.3846255106382985,2.807431191489361,
