Date,Hour,temp_dry,humidity,wind_speed,Pressure,Visibility,Wind_dir
2025-05-03,10,13.649999999999999,54.166666666666664,6.2,1007.4499999999999,58333.333333333336,281
2025-05-03,11,13.75,54.0,6.616666666666667,1007.0166666666668,60833.333333333336,275
2025-05-03,12,13.716666666666667,55.166666666666664,6.283333333333334,1006.5166666666668,72500.0,268
2025-05-03,13,12.983333333333334,61.833333333333336,6.016666666666667,1006.0500000000001,67500.0,244
2025-05-03,14,12.433333333333332,68.83333333333333,5.316666666666666,1005.4333333333334,50000.0,239
2025-05-03,15,11.4,76.66666666666667,6.183333333333334,1004.8666666666667,45666.666666666664,247
2025-05-03,16,10.299999999999999,80.16666666666667,5.3999999999999995,1004.1166666666667,22166.666666666668,251
2025-05-03,17,9.366666666666667,87.66666666666667,3.433333333333333,1003.3833333333333,19166.666666666668,278
2025-05-03,18,9.066666666666666,90.0,2.85,1002.8166666666666,16000.0,252
2025-05-03,19,8.583333333333334,91.83333333333333,2.9333333333333336,1002.4166666666666,19000.0,268
2025-05-03,20,8.4,92.16666666666667,2.4166666666666665,1001.7833333333333,15500.0,241
2025-05-03,21,7.883333333333333,87.5,3.35,1001.4333333333334,55666.666666666664,292
2025-05-03,22,7.616666666666667,89.33333333333333,3.4333333333333336,1001.3333333333334,43833.333333333336,279
2025-05-03,23,6.966666666666666,91.83333333333333,3.766666666666667,1001.0500000000001,73333.33333333333,256
2025-05-04,0,7.0,88.33333333333333,4.783333333333333,1001.15,38166.666666666664,257
2025-05-04,1,6.366666666666667,88.5,3.683333333333333,1001.3333333333334,21833.333333333332,315
2025-05-04,2,6.3500000000000005,88.16666666666667,3.1,1001.1333333333333,24833.333333333332,315
2025-05-04,3,5.866666666666667,93.66666666666667,2.85,1000.8000000000001,59166.666666666664,232
2025-05-04,4,6.016666666666667,93.83333333333333,3.266666666666667,1000.7833333333333,33000.0,242
2025-05-04,5,6.733333333333333,92.33333333333333,3.1833333333333336,1001.1,34166.666666666664,271
2025-05-04,6,9.1,84.5,4.7,1001.4166666666666,40833.333333333336,267
2025-05-04,7,9.6,76.83333333333333,5.216666666666666,1002.1166666666667,56666.666666666664,323
2025-05-04,8,11.233333333333334,73.0,7.033333333333334,1002.85,55833.333333333336,333
2025-05-04,9,10.483333333333333,70.5,9.200000000000001,1004.2166666666667,60833.333333333336,350
2025-05-04,10,10.083333333333334,66.33333333333333,8.066666666666666,1005.5666666666666,54166.666666666664,354
2025-05-04,11,10.700000000000001,61.666666666666664,7.883333333333333,1006.5333333333333,72500.0,355
2025-05-04,12,11.333333333333334,57.833333333333336,7.033333333333334,1007.3666666666667,65000.0,352
2025-05-04,13,11.016666666666666,57.166666666666664,7.7,1008.2166666666667,58333.333333333336,357
2025-05-04,14,11.133333333333333,55.333333333333336,7.616666666666667,1008.8166666666666,60833.333333333336,352
2025-05-04,15,11.383333333333333,51.333333333333336,7.116666666666667,1009.6833333333334,68333.33333333333,358
2025-05-04,16,10.6,53.0,6.3500000000000005,1010.4666666666667,63333.333333333336,6
2025-05-04,17,9.25,68.16666666666667,4.366666666666666,1011.2833333333333,70000.0,12
2025-05-04,18,8.633333333333333,68.0,4.433333333333333,1012.3333333333334,72500.0,77
2025-05-04,19,7.016666666666667,78.66666666666667,4.616666666666666,1013.75,16333.333333333334,89
2025-05-04,20,6.166666666666667,82.16666666666667,4.45,1014.7166666666667,29500.0,37
2025-05-04,21,6.616666666666667,78.5,3.6833333333333336,1015.2666666666668,70833.33333333333,95
2025-05-04,22,6.716666666666666,73.83333333333333,2.266666666666667,1015.9,75000.0,103
2025-05-04,23,6.166666666666667,72.83333333333333,1.9833333333333334,1016.4499999999999,75000.0,63
2025-05-05,0,5.7,72.5,3.4333333333333336,1016.9,75000.0,51
2025-05-05,1,5.133333333333334,74.0,3.766666666666666,1017.5500000000001,75000.0,54
2025-05-05,2,4.816666666666666,80.0,3.4333333333333336,1017.8666666666667,73333.33333333333,63
2025-05-05,3,4.45,83.66666666666667,2.9333333333333336,1018.3166666666666,75000.0,77
2025-05-05,4,5.533333333333334,80.66666666666667,1.6166666666666665,1019.0500000000001,68333.33333333333,82
2025-05-05,5,6.916666666666667,76.16666666666667,1.25,1019.6333333333333,65000.0,33
2025-05-05,6,7.7,67.66666666666667,0.8333333333333334,1020.0333333333333,60000.0,56
2025-05-05,7,8.333333333333334,54.333333333333336,0.8333333333333334,1020.3166666666666,57500.0,81
2025-05-05,8,9.283333333333333,52.5,1.6166666666666665,1020.5333333333333,63333.333333333336,128
2025-05-05,9,9.799999999999999,51.0,2.85,1020.5666666666666,67500.0,123
2025-05-05,10,10.433333333333332,42.833333333333336,3.516666666666667,1020.3666666666667,63333.333333333336,169
2025-05-05,11,11.166666666666666,38.333333333333336,5.033333333333333,1020.0666666666666,68333.33333333333,180
2025-05-05,12,11.533333333333333,33.333333333333336,6.116666666666667,1019.65,73333.33333333333,180
2025-05-05,13,11.799999999999999,39.0,6.183333333333334,1019.1,59166.666666666664,189
2025-05-05,14,12.566666666666668,35.5,3.033333333333333,1018.5500000000001,71666.66666666667,222
2025-05-05,15,12.433333333333332,32.333333333333336,3.516666666666667,1018.1333333333333,69166.66666666667,349
2025-05-05,16,11.450000000000001,44.666666666666664,4.35,1017.7333333333332,70000.0,256
2025-05-05,17,10.666666666666666,50.666666666666664,4.533333333333333,1017.3000000000001,68333.33333333333,203
2025-05-05,18,8.799999999999999,56.666666666666664,3.4333333333333336,1016.9833333333332,75000.0,212
2025-05-05,19,7.966666666666666,61.0,3.1833333333333336,1016.9,75000.0,211
2025-05-05,20,9.0,51.0,6.45,1016.7666666666668,71666.66666666667,240
2025-05-05,21,8.733333333333333,59.5,7.033333333333334,1016.4833333333332,70833.33333333333,239
2025-05-05,22,8.4,64.33333333333333,6.95,1016.2666666666668,72500.0,245
2025-05-05,23,7.45,71.33333333333333,6.033333333333334,1015.8166666666666,45833.333333333336,249
