DatoMaerke,NO2 ppb
2018-05-27,12.649374875
2018-05-28,31.36073
2018-05-29,27.680900088888887
2018-05-30,25.28908110638298
2018-05-31,16.144073191489362
2018-06-01,23.75268389361702
2018-06-02,23.822964042553192
2018-06-03,10.215628630434782
2018-06-04,6.643058872340426
2018-06-05,13.619002063829788
2018-06-06,13.813090282608696
2018-06-07,19.227531617021278
2018-06-08,27.111352826086954
2018-06-09,21.546322173913044
2018-06-10,14.075947085106383
2018-06-11,6.460171680851063
2018-06-12,6.744414422222222
2018-06-13,6.959223489361702
2018-06-14,12.838663106382977
2018-06-15,11.248867957446807
2018-06-16,17.961894574468086
2018-06-17,9.974800489361703
2018-06-18,13.934209872340427
2018-06-19,6.575356636363637
2018-06-20,12.237272723404256
2018-06-21,4.895872404255319
2018-06-22,8.445516
2018-06-23,3.6789472127659573
2018-06-24,9.370780170212766
2018-06-25,15.042546382978724
2018-06-26,17.984513512820513
2018-06-27,20.165921425531916
2018-06-28,14.564953446808511
2018-06-29,13.73495159574468
2018-06-30,9.346365
2018-07-01,8.534946638297873
2018-07-02,8.759187191489362
2018-07-03,7.056340454545454
2018-07-04,13.59212534042553
2018-07-05,5.820683595238095
2018-07-06,5.406421787234042
2018-07-07,3.8160760851063826
2018-07-08,9.588698319148937
2018-07-09,5.427240382978724
2018-07-10,19.899301644444446
2018-07-11,15.476126186046512
2018-07-12,15.72850470212766
2018-07-13,14.95059424137931
2018-07-14,
2018-07-15,
2018-07-16,18.78426276
2018-07-17,20.778002326086956
2018-07-18,8.62848
2018-07-19,5.666942191489361
2018-07-20,4.6209075
2018-07-21,8.745022489361702
2018-07-22,19.53365904255319
2018-07-23,7.598462234042553
2018-07-24,22.407588680851067
2018-07-25,17.746476872340427
2018-07-26,14.525751936170213
2018-07-27,13.739598282608696
2018-07-28,9.532454191489363
2018-07-29,10.972996893617022
2018-07-30,19.440904638297873
2018-07-31,21.331187044444444
2018-08-01,13.53782729787234
2018-08-02,18.370583872340426
2018-08-03,18.194502282608696
2018-08-04,6.259332744680852
2018-08-05,1.8903197978723403
2018-08-06,10.30872644893617
2018-08-07,23.879823866666666
2018-08-08,18.33249280851064
2018-08-09,14.476773911111112
2018-08-10,8.333234818181818
2018-08-11,8.978645808510638
2018-08-12,3.56446075
2018-08-13,24.509245923076925
2018-08-14,13.338021222222222
2018-08-15,10.025172340425533
2018-08-16,18.768360382978724
2018-08-17,16.031571510638297
2018-08-18,8.897117595744682
2018-08-19,8.806850382978723
2018-08-20,5.5782755106382975
2018-08-21,11.801980599999998
2018-08-22,17.469545425531916
2018-08-23,22.5774014893617
2018-08-24,10.77401744680851
2018-08-25,10.891466617021276
2018-08-26,7.460780085106382
2018-08-27,16.56979419148936
2018-08-28,13.041092227272726
