Weekday,Date,Hour,NO2_ppb,NOx_ppb,temp_dry,Humidity,Wind_speed,Pressure,Visibility,Wind_dir
Wednesday,2020-01-08,22,5.8378375,5.845405,4.283333333333333,95.33333333333331,4.766666666666667,1018.3833333333332,24166.666666666668,239.0
Wednesday,2020-01-08,23,5.1789190000000005,5.3643245,4.333333333333333,94.83333333333331,4.766666666666667,1018.6666666666666,23166.666666666668,233.0
Thursday,2020-01-09,0,3.6437835,3.6286485,4.15,95.33333333333331,4.933333333333333,1018.7166666666668,20333.33333333333,248.0
Thursday,2020-01-09,1,3.464865,3.4443245,3.3000000000000003,96.0,3.6833333333333336,1018.9166666666666,21333.33333333333,250.0
Thursday,2020-01-09,2,3.130811,3.1794595,2.75,98.0,3.516666666666667,1018.7333333333332,20666.666666666668,241.0
Thursday,2020-01-09,3,3.432433,3.367568,2.0,99.0,3.266666666666667,1018.2833333333332,18666.666666666668,236.0
Thursday,2020-01-09,4,3.6389185,3.540541,1.7833333333333332,100.0,3.35,1017.3666666666668,18000.0,235.0
Thursday,2020-01-09,5,5.287027,5.394054499999999,2.566666666666667,100.0,3.016666666666667,1016.85,16666.666666666668,236.0
Thursday,2020-01-09,6,8.617297,8.982702,3.5,99.66666666666669,2.333333333333333,1016.7,19000.0,218.0
Thursday,2020-01-09,7,12.43892,12.604325,3.8333333333333335,99.16666666666669,1.7833333333333332,1016.3166666666666,20500.0,222.0
Thursday,2020-01-09,8,21.017295,23.354595,4.75,98.33333333333331,3.266666666666667,1015.4666666666668,16500.0,167.0
Thursday,2020-01-09,9,14.72,15.77622,5.183333333333334,98.33333333333331,4.433333333333333,1014.5833333333334,11500.0,161.0
Thursday,2020-01-09,10,10.103783,10.6783795,5.233333333333333,96.83333333333331,5.066666666666666,1013.15,15333.333333333334,152.0
Thursday,2020-01-09,11,16.66054,18.553515,5.2,98.0,5.233333333333333,1011.8166666666666,10166.666666666666,129.0
Thursday,2020-01-09,12,9.190811,9.2994595,5.333333333333333,97.83333333333331,5.583333333333333,1009.8833333333332,12666.666666666666,100.0
Thursday,2020-01-09,13,9.893511,10.60162,5.333333333333333,97.66666666666669,6.616666666666667,1008.2666666666668,9833.333333333334,116.0
Thursday,2020-01-09,14,8.023243,8.1794595,5.9,98.83333333333331,5.4,1007.2333333333332,11500.0,118.0
Thursday,2020-01-09,15,11.07243,12.784865,6.516666666666667,99.33333333333331,5.933333333333334,1006.0666666666666,9500.0,154.0
Thursday,2020-01-09,16,9.7259465,10.956756,6.833333333333333,99.33333333333331,7.533333333333334,1005.3,9666.666666666666,181.0
Thursday,2020-01-09,17,9.05081,9.816216,7.2,99.0,6.7,1005.0166666666668,6633.333333333333,194.0
Thursday,2020-01-09,18,8.5854055,9.112973,7.766666666666667,99.0,4.45,1005.1,11000.0,210.0
